Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"776 Boylston St,Boston,MA",29Nov,4.3,Mandarin Oriental Boston,"Rs45,722","Rs45,722",5 stars
"70 Rowes Wharf,Boston,MA",29Nov,4.8,Boston Harbor Hotel,"Rs32,161","Rs28,856",5 stars
"215 Charles St,Boston,MA",29Nov,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs23,730",5 stars
"200 Boylston St,Boston,MA",29Nov,4.4,Four Seasons Hotel Boston,"Rs47,136","Rs47,136",5 stars
"510 Atlantic Ave,Boston,MA",29Nov,4.6,InterContinental Boston,"Rs20,999","Rs20,999",5 stars
"10 Avery St,Boston,MA",29Nov,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs41,934",5 stars
"3 Battery Wharf,Boston,MA",29Nov,4.4,"Battery Wharf Hotel, Boston Waterfront","Rs18,944","Rs16,028",4.5 stars
"138 Saint James Ave,Boston,MA",29Nov,4.6,"Fairmont Copley Plaza, Boston","Rs28,542","Rs24,260",4.5 stars
"15 Arlington St,Boston,MA",29Nov,4.5,Taj Boston,"Rs20,090","Rs18,081",4.5 stars
"61 Exeter Street,Boston,MA",29Nov,4.7,The Lenox Hotel Boston,"Rs41,935","Rs36,083",4.5 stars
"250 Franklin St,Boston,MA",29Nov,4.7,"The Langham, Boston","Rs34,068","Rs30,661",4.5 stars
"500 Commonwealth Ave,Boston,MA",29Nov,4.6,Hotel Commonwealth,"Rs24,641","Rs20,740",4.5 stars
"One Bennett Street,Boston,MA",29Nov,4.5,The Charles Hotel,"Rs22,078","Rs19,809",4 stars
"89 Broad St,Boston,MA",29Nov,4.3,Hilton Boston Downtown/Faneuil Hall,"Rs25,941","Rs20,090",4 stars
"26 North St,Boston,MA",29Nov,4.5,The Bostonian Boston,"Rs21,591","Rs21,591",4 stars
"606 Congress St,Boston,MA",29Nov,4.3,Renaissance Boston Waterfront Hotel,"Rs24,641","Rs18,724",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",29Nov,4.5,Royal Sonesta Boston,"Rs25,397","Rs20,090",4 stars
"1 Court Street,Boston,MA",29Nov,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs24,517",4 stars
"70 Sleeper Street,Boston,MA",29Nov,4.4,"The Envoy Hotel, Autograph Collection","Rs29,843","Rs29,843",4 stars
"100 Stuart Street,Boston,MA",29Nov,4.3,W Boston,"Rs28,516","Rs28,513",4 stars
"101 S. Huntington Ave,Boston,MA",29Nov,4.2,Global Luxury Suites at Longwood Medical Area,"Rs9,426","Rs8,457",4 stars
"1 Seaport Lane,Boston,MA",29Nov,4.7,Seaport Boston Hotel,"Rs20,415","Rs17,487",4 stars
"39 Dalton St,Boston,MA",29Nov,4.2,Sheraton Boston Hotel,"Rs25,307","Rs25,305",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",29Nov,4.1,Boston Park Plaza,"Rs12,938","Rs11,644",4 stars
"32 Garrison Street,Boston,MA",29Nov,3.9,Global Luxury Suites at Back Bay,"Rs13,221","Rs11,862",4 stars
"4 Longfellow Place,Boston,MA",29Nov,4.7,Staniford St. Apartments By Stay Alfred,"Rs17,294","Rs17,294",4 stars
"161 Devonshire St,Boston,MA",29Nov,4.1,Club Quarters Hotel in Boston,"Rs15,155","Rs15,155",4 stars
"40 Dalton St,Boston,MA",29Nov,4.0,Hilton Boston Back Bay,"Rs38,944","Rs28,542",4 stars
"One Avenue De Lafayette,Boston,MA",29Nov,4.4,Hyatt Regency Boston,"Rs38,294","Rs38,294",4 stars
"180 Brookline Avenue,Boston,MA",29Nov,3.9,Global Luxury Suites at Fenway Park South,"Rs10,058","Rs9,025",4 stars
"One Hotel Drive,Boston,MA",29Nov,4.1,Hilton Boston Logan Airport,"Rs13,328","Rs13,328",4 stars
